TransactionID,Date,CustomerID,ProductID,Quantity,Price,TotalAmount,PaymentMethod,StoreLocation,EmployeeID
25795,2024-11-06,4735,291,3,22.36,67.08,Debit,Store_B,147
10860,2024-11-06,1130,376,7,190.29,1332.03,Debit,Store_A,114
86820,2024-11-06,2685,260,4,193.47,773.88,Cash,Store_C,299
64886,2024-11-06,4380,413,9,163.6,1472.4,Credit Card,Store_B,289
16265,2024-11-06,1769,121,3,67.88,203.64,Cash,Store_B,139
92386,2024-11-06,3391,352,5,28.56,142.8,Cash,Store_B,181
47194,2024-11-06,2515,335,3,140.0,420.0,Cash,Store_B,210
97498,2024-11-06,4485,444,7,93.63,655.41,Cash,Store_B,152
54131,2024-11-06,3853,148,5,33.19,165.95,Cash,Store_B,123
70263,2024-11-06,3433,158,9,104.08,936.72,Cash,Store_C,253
