TransactionID,Date,CustomerID,ProductID,Quantity,Price,TotalAmount,PaymentMethod,StoreLocation,EmployeeID
58925,2024-11-08,2408,236,8,38.14,305.12,Cash,Store_B,102
52941,2024-11-08,2400,417,9,199.57,1796.13,Cash,Store_B,247
31834,2024-11-08,2306,264,4,60.69,242.76,Debit,Store_B,286
28047,2024-11-08,3680,324,1,195.56,195.56,Debit,Store_C,263
36105,2024-11-08,3675,406,1,88.1,88.1,Debit,Store_C,246
85766,2024-11-08,1972,333,4,16.28,65.12,Debit,Store_A,189
25707,2024-11-08,2768,271,7,75.56,528.9200000000001,Credit Card,Store_A,294
31976,2024-11-08,2282,251,2,130.53,261.06,Debit,Store_C,246
54262,2024-11-08,4430,414,3,139.33,417.99,Cash,Store_B,247
33776,2024-11-08,1709,473,1,110.88,110.88,Credit Card,Store_A,195
